"Campo","Tipo","Descrição"
"Semana (data inicial)","",""
"Objetivo-chave","",""
"Recompensa","",""
"Prioridade 1","Texto",""
"Prioridade 1 - Status","Dropdown","Pendente, Em andamento, Concluído"
"Prioridade 2","Texto",""
"Prioridade 2 - Status","Dropdown","Pendente, Em andamento, Concluído"
"Prioridade 3","Texto",""
"Prioridade 3 - Status","Dropdown","Pendente, Em andamento, Concluído"
"Rotina da manhã","Checklist",""
"Rotina da noite","Checklist",""
"Delegar - Tarefa","Texto",""
"Delegar - Responsável","Texto",""
"Planejamento diário","Tabela","Dia, Foco, Tarefa importante, Bloco de tempo, Status"
"Energia - Observações","Notas",""
"Cuidados essenciais","Notas",""
